id,bill_id,related_bill_id,identifier,legislative_session,relation_type
e3142f57-6b55-4340-b450-3d3788f33b90,ocd-bill/d94686d7-e585-45cd-9800-051012e29597,ocd-bill/be7beae1-0027-492d-942a-e1ddf29e61aa,HJRES 17,119,companion
7453d707-1edf-4a0b-80e8-fa8877549cfd,ocd-bill/d94686d7-e585-45cd-9800-051012e29597,ocd-bill/51068856-51ba-4671-b32d-9441507c018a,HJRES 11,119,companion
77852436-1d16-4ce6-a05a-4ff13abf6a9a,ocd-bill/be7beae1-0027-492d-942a-e1ddf29e61aa,ocd-bill/d94686d7-e585-45cd-9800-051012e29597,HJRES 10,119,companion
e8179e64-d469-4c3e-80b7-f23640edd38c,ocd-bill/be7beae1-0027-492d-942a-e1ddf29e61aa,ocd-bill/51068856-51ba-4671-b32d-9441507c018a,HJRES 11,119,companion
21216d45-08c1-466e-a2b6-2696d1526e70,ocd-bill/6cb9554f-7b46-4ab5-9c2b-88c5b9f26407,ocd-bill/03ba5a04-b0fa-4994-b9c6-c322f0784c46,HRES 47,119,companion
dc58fa66-10ab-457d-8b17-02f5e92b75b1,ocd-bill/d57c26ee-8d33-4ebb-8d5b-b6b3383181a6,ocd-bill/357b90e8-6cf4-41ad-9190-b124ca91172c,SRES 33,119,companion
3fe32f0d-57b8-47ec-93d6-44cbbade249f,ocd-bill/c891c30d-c25c-4595-aebc-6f48ec2e9aa4,ocd-bill/037afc78-8f04-42f5-ae1f-3b07049c893f,SRES 27,119,companion
66f0f278-51ca-47b2-8bb6-ddb22dcc26cc,ocd-bill/03ba5a04-b0fa-4994-b9c6-c322f0784c46,ocd-bill/6cb9554f-7b46-4ab5-9c2b-88c5b9f26407,SRES 22,119,companion
6386f046-690f-44e8-9021-ac17b244fc17,ocd-bill/037afc78-8f04-42f5-ae1f-3b07049c893f,ocd-bill/c891c30d-c25c-4595-aebc-6f48ec2e9aa4,HRES 32,119,companion
0f4d1f95-e6cd-43ef-92b1-2da1a97ab840,ocd-bill/71fb3433-1883-488a-a923-bdbe0bba8532,ocd-bill/c85a27a6-91d4-49ef-8de9-b1cfb2ff0e7b,HRES 37,119,companion
134b0445-db59-4d57-8e85-e96fabd733d7,ocd-bill/9e474177-4b98-4608-8e5b-ad6336d9820b,ocd-bill/30325e59-e9c1-4faa-951c-d56b5a89eece,HJRES 20,119,companion
00317ded-1979-4aa6-92c7-5dcf34fbd545,ocd-bill/c85a27a6-91d4-49ef-8de9-b1cfb2ff0e7b,ocd-bill/71fb3433-1883-488a-a923-bdbe0bba8532,SRES 23,119,companion
f08fd1b0-e4b9-4fe8-ba96-cd73789b38e7,ocd-bill/9696d937-29ea-4e73-89d9-b2d5bed3f19e,ocd-bill/1d5663fe-6903-41fb-aeac-b0fc71d2e4cf,HRES 100,119,companion
